"customer_id","category_id","item_id","size_caption","width","left_facing","right_facing","thickness","printing_cylinder","cutting_length_cm","raw_material","master_batch_id","is_printed","cutting_unit","unit_weight_kg","notes","punching"
"CID004","CAT01","ITM06","50+17+17X90","50","17","17","8.5","بدون","90","LDPE","MAS28","No","Packet","1.4","10P/Bag","بدون"
"CID004","CAT01","ITM07","60+15+15X110","60","15","15","9","بدون","110","Regrind","MAS02","No","Packet","1.4","50Pcs/P x 5P/Bag","بدون"
"CID004","CAT01","ITM09","60+18+18X110","60","18","18","11","بدون","110","Regrind","MAS02","No","Packet","2.4","5P/Bag","بدون"
"CID004","CAT01","ITM10","70+25+25X130","70","25","25","12","بدون","130","Regrind","MAS02","No","Packet","3","5P/Bag","بدون"
"CID004","CAT01","ITM06","50+17+17X100","50","17","17","10","بدون","100","Regrind","MAS02","No","Packet","1.6","10P/Bag","بدون"
"CID004","CAT01","ITM06","50+18+18X105","50","18","18","8.5","بدون","105","Regrind","MAS28","No","Packet","1.6","10P/Bag","بدون"
"CID004","CAT02","ITM14","32+12+12X60","32","12","12","11","بدون","60","HDPE","MAS01","No","Box","5","20K/Bag","بدون"
"CID004","CAT02","ITM14","30+12+12X65","30","12","12","5","بدون","65","HDPE","MAS15","No","Box","4","30Pcs/R x 10R/Box","بدون"
"CID004","CAT03","ITM24","46+14+14X86","46","14","14","17","بدون","86","HDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID002","CAT08","ITM55","61X167","61","0","0","10","22","167","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID005","CAT08","ITM56","21.5+5.5+5.5X0","21.5","5.5","5.5","55","بدون","0","HDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID006","CAT03","ITM22","30+10+10X50","30","10","10","15","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID006","CAT03","ITM23","34+11+11X60","34","11","11","15","24","61","HDPE","MAS19","Yes","Kg.","1","20K/Bag","بدون"
"CID009","CAT08","ITM55","19X25","19","0","0","18","10","25","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID013","CAT04","ITM29","29+6+6X35","29","6","6","20","14","36","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID013","CAT04","ITM30","36+8+8X50","36","8","8","25","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID017","CAT04","ITM31","42X55","42","0","0","25","22","56","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID020","CAT01","ITM04","40+12+12X0","40","12","12","7.5","بدون","0","Regrind","MAS28","No","Packet","1","10P/Bag","بدون"
"CID020","CAT01","ITM05","40+15+15X0","40","15","15","7","بدون","0","Regrind","MAS28","No","Packet","1","10P/Bag","بدون"
"CID020","CAT01","ITM06","50+15+15X0","50","15","15","7","بدون","0","Regrind","MAS28","No","Packet","1.2","10P/Bag","بدون"
"CID021","CAT04","ITM30","25+6+6X40","25","6","6","15","16","41","HDPE","MAS28","Yes","Box","10","1050Pcs/Box","بدون"
"CID023","CAT04","ITM32","40+7+7X55","40","7","7","42","22","56","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID023","CAT04","ITM33","55+9+9X81","55","9","9","45","32","81","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID023","CAT04","ITM34","70+14+14X99","70","14","14","46","39","99","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID025","CAT01","ITM07","55+16+16X110","55","16","16","23","بدون","110","LDPE","MAS02","No","Packet","3","25Pcs/P x 5P/Bag","بدون"
"CID025","CAT01","ITM06","50+15+15X100","50","15","15","5","بدون","100","Regrind","MAS02","No","Packet","1","10P/Bag","بدون"
"CID025","CAT01","ITM08","60+15+15X110","60","15","15","11","بدون","110","Regrind","MAS28","No","Packet","2.6","5P/Bag","بدون"
"CID025","CAT01","ITM09","67+21+21X123","67","21","21","17","بدون","123","LDPE","MAS23","No","Packet","5","50Pcs/P x 4P/Bag","بدون"
"CID025","CAT01","ITM07","60+15+15X110","60","15","15","9","بدون","110","Regrind","MAS28","No","Packet","2","5P/Bag","بدون"
"CID025","CAT01","ITM06","47+19+19X94","47","19","19","12.5","بدون","94","Regrind","MAS28","No","Packet","2.1","50Pcs/P x 5P/Bag","بدون"
"CID026","CAT04","ITM29","26+7+7X40","26","7","7","35","16","41","HDPE","MAS11","Yes","Kg.","1","20K/Bag","بنانة"
"CID036","CAT04","ITM31","45X50","45","0","0","18","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID038","CAT06","ITM42","60X120","60","0","0","8","بدون","120","LDPE","MAS01","No","Roll","2","4R/Bag","بدون"
"CID038","CAT06","ITM42","60X140","60","0","0","16","بدون","140","LDPE","MAS19","No","Roll","2.5","4R/Bag","بدون"
"CID040","CAT04","ITM29","22+6+6X30","22","6","6","20","12","30","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID040","CAT04","ITM30","31+6+6X45","31","6","6","25","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID040","CAT04","ITM31","40+8+8X50","40","8","8","25","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID040","CAT04","ITM32","42+9+9X60","42","9","9","27","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID040","CAT04","ITM33","62+15+15X81","62","15","15","28","32","81","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID041","CAT03","ITM22","0X0","0","0","0","0","بدون","0","HDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID041","CAT03","ITM23","0X0","0","0","0","0","بدون","0","HDPE","MAS28","No","Kg.","1","20K/Bag","بدون"
"CID041","CAT03","ITM24","44+13+13X81","44","13","13","18","32","81","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID042","CAT03","ITM22","31+9+9X50","31","9","9","16","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID042","CAT03","ITM23","37+13+13X60","37","13","13","16","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID042","CAT03","ITM24","50+14+14X81","50","14","14","19","32","81","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID051","CAT04","ITM30","38+6+6X45","38","6","6","38","18","46","LDPE","MAS11","Yes","Kg.","1","20K/Bag","بدون"
"CID051","CAT04","ITM31","46+6+6X50","46","6","6","38","20","51","LDPE","MAS11","Yes","Kg.","1","20K/Bag","بدون"
"CID065","CAT04","ITM30","41X50","41","0","0","20","20","51","HDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID004","CAT01","ITM09","60+15+15X110","60","15","15","11","بدون","110","Regrind","MAS02","No","Packet","2.6","5P/Bag","بدون"
"CID145","CAT03","ITM21","29+9+9X45","29","9","9","12","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID136","CAT04","ITM30","31+6+6X45","31","6","6","28","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID136","CAT04","ITM31","41+9+9X50","41","9","9","28","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID738","CAT01","ITM05","47+19+19X51","47","19","19","15","20","51","HDPE","MAS23","Yes","Kg.","1","23Pcs/P x 10P/Bag","بدون"
"CID749","CAT04","ITM29","21X0","21","0","0","15","بدون","0","LDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID749","CAT04","ITM30","31+6+6X0","31","6","6","36","بدون","0","LDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID749","CAT04","ITM31","40+6+6X0","40","6","6","40","بدون","0","LDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID749","CAT03","ITM21","28+9+9X0","28","9","9","10","بدون","0","HDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID749","CAT03","ITM22","32+10+10X0","32","10","10","10","بدون","0","HDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID749","CAT03","ITM23","40+14+14X0","40","14","14","15","بدون","0","HDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID402","CAT03","ITM22","30+9+9X50","30","9","9","14","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID402","CAT03","ITM23","35+10+10X60","35","10","10","21","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID402","CAT03","ITM24","40+9+9X71","40","9","9","25","28","71","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID402","CAT04","ITM31","59X0","59","0","0","15","بدون","0","LDPE","MAS01","No","Kg.","1","20K/Bag","بدون"
"CID747","CAT03","ITM22","32+10+10X50","32","10","10","18","20","51","HDPE","MAS19","Yes","Kg.","1","20K/Bag","علاقي هوك"
"CID292","CAT03","ITM22","27+8+8X45","27","8","8","15","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID292","CAT03","ITM23","36+12+12X60","36","12","12","18","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID292","CAT03","ITM24","41+12+12X71","41","12","12","18","28","71","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID292","CAT03","ITM25","46+14+14X81","46","14","14","20","32","81","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID613","CAT04","ITM29","28+8+8X45","28","8","8","30","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID613","CAT04","ITM30","38+8+8X50","38","8","8","30","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID613","CAT04","ITM31","45+8+8X55","45","8","8","30","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID781","CAT04","ITM29","23+6+6X35","23","6","6","18","14","36","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID781","CAT03","ITM22","28+9+9X50","28","9","9","15","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID399","CAT04","ITM29","25X35","25","0","0","20","14","36","LDPE","MAS19","Yes","Kg.","1","20K/Bag","بدون"
"CID399","CAT04","ITM30","26+8+8X45","26","8","8","38","18","46","LDPE","MAS19","Yes","Kg.","1","20K/Bag","بدون"
"CID399","CAT04","ITM31","39+9+9X50","39","9","9","40","20","51","LDPE","MAS19","Yes","Kg.","1","20K/Bag","بنانة"
"CID399","CAT03","ITM22","32+11+11X50","32","11","11","14","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID741","CAT05","ITM35","32+9+9X110","32","9","9","4","بدون","110","HDPE","MAS01","No","Roll","0.3","20K/Bag","بدون"
"CID741","CAT05","ITM38","34+14+14X125","34","14","14","4","بدون","125","HDPE","MAS01","No","Roll","0.9","10R/Bag","بدون"
"CID741","CAT06","ITM41","55X110","55","0","0","6","بدون","110","HDPE","MAS01","No","Roll","0.8","15R/Bag","بدون"
"CID741","CAT01","ITM05","40+15+15X80","40","15","15","9","بدون","80","HDPE","MAS24","No","Packet","1.2","10P/Bag","بدون"
"CID741","CAT01","ITM06","50+15+15X90","50","15","15","8","بدون","90","Regrind","MAS02","No","Packet","1.3","10P/Bag","بدون"
"CID741","CAT01","ITM07","50+18+18X100","50","18","18","13","بدون","100","Regrind","MAS02","No","Packet","1.3","10P/Bag","بدون"
"CID340","CAT03","ITM21","25+7+7X45","25","7","7","14","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID340","CAT03","ITM22","32+10+10X55","32","10","10","15","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID340","CAT03","ITM23","35+10+10X60","35","10","10","15","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","علاقي"
"CID480","CAT04","ITM29","31X35","31","0","0","18","14","36","HDPE","MAS28","Yes","Box","10","500Pcs/ Box","بنانة"
"CID480","CAT04","ITM30","45+10+10X50","45","10","10","30","20","51","HDPE","MAS28","Yes","Box","10","200Pcs/ Box","بنانة"
"CID480","CAT04","ITM31","65+15+15X76","65","15","15","32","30","76","HDPE","MAS01","Yes","Box","10","80Pcs/Box","بنانة"
"CID767","CAT04","ITM29","25X35","25","0","0","10","14","36","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID767","CAT04","ITM30","33X45","33","0","0","12","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID767","CAT04","ITM31","33+10+10X55","33","10","10","24","22","56","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID767","CAT04","ITM32","40+11+11X71","40","11","11","28","28","71","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بنانة"
"CID165","CAT03","ITM21","27+8+8X45","27","8","8","14","18","46","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID165","CAT03","ITM22","31+9+9X50","31","9","9","14","20","51","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID165","CAT03","ITM23","40+11+11X60","40","11","11","15","24","61","HDPE","MAS01","Yes","Kg.","1","20K/Bag","بدون"
"CID555","CAT01","ITM04","36+16+16X70","36","16","16","10","بدون","70","HDPE","MAS24","No","Packet","1","10P/Bag","بدون"
"CID555","CAT01","ITM05","40+16+16X80","40","16","16","10","بدون","80","Regrind","MAS02","No","Packet","1.2","10P/Bag","بدون"
"CID555","CAT01","ITM06","50+15+15X90","50","15","15","10","بدون","90","Regrind","MAS02","No","Packet","1.4","10P/Bag","بدون"
"CID555","CAT08","ITM55","26X45","26","0","0","8","18","46","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
"CID555","CAT08","ITM56","24X25","24","0","0","20","10","25","LDPE","MAS28","Yes","Kg.","1","20K/Bag","بدون"
