id,customer_id,category_id,item_id,size_caption,width,left_facing,right_facing,thickness,printing_cylinder,cutting_length_cm,raw_material,master_batch_id,is_printed,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg,cliche_front_design,cliche_back_design,notes,status,created_at
37,CID004,CAT01,ITM06,50+17+17X100,50,17,17,10,بدون طباعة,100,Regrind,PT-000000,FALSE,باكت,بدون,1.6,10,16,,,10P/Bag,active,Thu Aug 21 2025 16:42:51 GMT+0000 (Coordinated Universal Time)
38,CID004,CAT01,ITM06,50+18+18X105,50,18,18,8.5,بدون طباعة,105,Regrind,PT-CLEAR,FALSE,باكت,بدون,1.6,10,16,,,10P/Bag,active,Thu Aug 21 2025 16:42:51 GMT+0000 (Coordinated Universal Time)
4047,CID1867,CAT04,ITM29,25X35,25,0,0,15,14,36,LDPE,PT-111111,TRUE,كيلو,بنانة,1,,,,,20K/Bag,active,Thu Aug 21 2025 16:58:28 GMT+0000 (Coordinated Universal Time)
39,CID004,CAT02,ITM14,32+12+12X60,32,12,12,11,بدون طباعة,60,HDPE,PT-111111,FALSE,كرتون,بدون,5,1,5,,,20K/Bag,active,Thu Aug 21 2025 16:42:51 GMT+0000 (Coordinated Universal Time)
40,CID004,CAT02,ITM14,30+12+12X65,30,12,12,5,بدون طباعة,65,HDPE,PT-140340,FALSE,كرتون,بدون,4,1,4,,,30Pcs/R x 10R/Box,active,Thu Aug 21 2025 16:42:51 GMT+0000 (Coordinated Universal Time)
41,CID004,CAT03,ITM24,46+14+14X86,46,14,14,17,بدون طباعة,86,HDPE,PT-CLEAR,FALSE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:51 GMT+0000 (Coordinated Universal Time)
42,CID002,CAT08,ITM55,61X167,61,0,0,10,22,167,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
44,CID006,CAT03,ITM22,30+10+10X50,30,10,10,15,20,51,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
45,CID006,CAT03,ITM23,34+11+11X60,34,11,11,15,24,61,HDPE,PT-120074,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
46,CID009,CAT08,ITM55,19X25,19,0,0,18,10,25,LDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
47,CID013,CAT04,ITM29,29+6+6X35,29,6,6,20,14,36,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
48,CID013,CAT04,ITM30,36+8+8X50,36,8,8,25,20,51,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
49,CID017,CAT04,ITM31,42X55,42,0,0,25,22,56,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:52 GMT+0000 (Coordinated Universal Time)
50,CID020,CAT01,ITM04,40+12+12X0,40,12,12,7.5,بدون طباعة,0,Regrind,PT-CLEAR,FALSE,باكت,بدون,1,10,10,,,10P/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
52,CID020,CAT01,ITM06,50+15+15X0,50,15,15,7,بدون طباعة,0,Regrind,PT-CLEAR,FALSE,باكت,بدون,1.2,10,12,,,10P/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
53,CID021,CAT04,ITM30,25+6+6X40,25,6,6,15,16,41,HDPE,PT-CLEAR,TRUE,كرتون,بدون,10,1,10,,,1050Pcs/Box,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
54,CID023,CAT04,ITM32,40+7+7X55,40,7,7,42,22,56,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
55,CID023,CAT04,ITM33,55+9+9X81,55,9,9,45,32,81,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
56,CID023,CAT04,ITM34,70+14+14X99,70,14,14,46,39,99,HDPE,PT-CLEAR,TRUE,كيلو,بدون,1,20,20,,,20K/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
57,CID025,CAT01,ITM07,55+16+16X110,55,16,16,23,بدون طباعة,110,LDPE,PT-000000,FALSE,باكت,بدون,3,1,3,,,25Pcs/P x 5P/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
58,CID025,CAT01,ITM06,50+15+15X100,50,15,15,5,بدون طباعة,100,Regrind,PT-000000,FALSE,باكت,بدون,1,10,10,,,10P/Bag,active,Thu Aug 21 2025 16:42:53 GMT+0000 (Coordinated Universal Time)
60,CID025,CAT01,ITM09,67+21+21X123,67,21,21,17,بدون طباعة,123,LDPE,PT-130232-B,FALSE,باكت,بدون,5,1,5,,,50Pcs/P x 4P/Bag,active,Thu Aug 21 2025 16:42:54 GMT+0000 (Coordinated Universal Time)
