id,printing_cylinder,master_batch_id,cutting_unit,punching,unit_weight_kg,unit_quantity,package_weight_kg
33,بدون طباعة,PT-CLEAR,باكت,بدون,1.4,10,14
34,بدون طباعة,PT-000000,باكت,بدون,1.4,10,14
35,بدون طباعة,PT-000000,باكت,بدون,2.4,1,2.4
36,بدون طباعة,PT-000000,باكت,بدون,3,1,3
37,بدون طباعة,PT-000000,باكت,بدون,1.6,10,16
38,بدون طباعة,PT-CLEAR,باكت,بدون,1.6,10,16
39,بدون طباعة,PT-111111,كرتون,بدون,5,1,5
40,بدون طباعة,PT-140340,كرتون,بدون,4,1,4
41,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
42,22,PT-CLEAR,كيلو,بدون,1,20,20
43,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
44,20,PT-CLEAR,كيلو,بدون,1,20,20
45,24,PT-120074,كيلو,بدون,1,20,20
46,10,PT-CLEAR,كيلو,بدون,1,20,20
47,14,PT-CLEAR,كيلو,بدون,1,20,20
48,20,PT-CLEAR,كيلو,بدون,1,20,20
49,22,PT-CLEAR,كيلو,بدون,1,20,20
50,بدون طباعة,PT-CLEAR,باكت,بدون,1,10,10
51,بدون طباعة,PT-CLEAR,باكت,بدون,1,10,10
52,بدون طباعة,PT-CLEAR,باكت,بدون,1.2,10,12
53,16,PT-CLEAR,كرتون,بدون,10,1,10
54,22,PT-CLEAR,كيلو,بدون,1,20,20
55,32,PT-CLEAR,كيلو,بدون,1,20,20
56,39,PT-CLEAR,كيلو,بدون,1,20,20
57,بدون طباعة,PT-000000,باكت,بدون,3,1,3
58,بدون طباعة,PT-000000,باكت,بدون,1,10,10
59,بدون طباعة,PT-CLEAR,باكت,بدون,2.6,1,2.6
60,بدون طباعة,PT-130232-B,باكت,بدون,5,1,5
61,بدون طباعة,PT-CLEAR,باكت,بدون,2,1,2
62,بدون طباعة,PT-CLEAR,باكت,بدون,2.1,1,2.1
63,16,PT-180361,كيلو,بنانة,1,20,20
64,20,PT-CLEAR,كيلو,بدون,1,20,20
65,بدون طباعة,PT-111111,رول,بدون,2,1,2
66,بدون طباعة,PT-120074,رول,بدون,2.5,1,2.5
67,12,PT-111111,كيلو,بنانة,1,20,20
68,18,PT-111111,كيلو,بنانة,1,20,20
69,20,PT-111111,كيلو,بنانة,1,20,20
70,24,PT-111111,كيلو,بنانة,1,20,20
71,32,PT-111111,كيلو,بنانة,1,20,20
72,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
73,بدون طباعة,PT-CLEAR,كيلو,بدون,1,20,20
74,32,PT-CLEAR,كيلو,بدون,1,20,20
75,20,PT-111111,كيلو,بدون,1,20,20
76,24,PT-111111,كيلو,بدون,1,20,20
77,32,PT-111111,كيلو,بدون,1,20,20
78,18,PT-180361,كيلو,بدون,1,20,20
79,20,PT-180361,كيلو,بدون,1,20,20
80,20,PT-CLEAR,كيلو,بدون,1,20,20
81,بدون طباعة,PT-000000,باكت,بدون,2.6,5,13
82,18,PT-111111,كيلو,علاقي هوك,1,20,20
83,18,PT-111111,كيلو,بدون,1,20,20
84,20,PT-111111,كيلو,بدون,1,20,20
85,20,PT-130232-B,كيلو,بدون,1,10,10
86,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
87,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
88,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
89,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
90,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
91,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
92,20,PT-111111,كيلو,علاقي,1,20,20
93,24,PT-111111,كيلو,علاقي,1,20,20
94,28,PT-111111,كيلو,علاقي,1,20,20
95,بدون طباعة,PT-111111,كيلو,بدون,1,20,20
96,20,PT-120074,كيلو,علاقي هوك,1,20,20
97,18,PT-111111,كيلو,بدون,1,20,20
98,24,PT-111111,كيلو,بدون,1,20,20
99,28,PT-111111,كيلو,بدون,1,20,20
100,32,PT-111111,كيلو,بدون,1,20,20
101,18,PT-111111,كيلو,بنانة,1,20,20
102,20,PT-111111,كيلو,بنانة,1,20,20
